# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).  Made with Strauss code. 
1.44372726e+02,3.13969278e+00,3.89860302e-01,2.35428229e-01,1.35395370e+07
1.55035095e+02,3.13661361e+00,2.73850346e+00,7.49729991e-01,1.80866260e+07
1.49001038e+02,3.97551246e-03,2.63786030e+00,9.76113081e-01,4.24613080e+07
1.45392029e+02,7.84876011e-03,4.22257900e+00,8.95860016e-01,2.34774560e+07
1.40387146e+02,3.12938356e+00,4.20496273e+00,1.08475041e+00,3.63793240e+07
1.40617447e+02,7.51802325e-03,5.92198849e+00,7.05676138e-01,7.88937360e+07
1.40824966e+02,8.59995093e-03,1.15607783e-01,4.47135925e-01,3.30582080e+07
1.42677277e+02,3.13163543e+00,9.33828354e-01,6.29482448e-01,2.67017080e+07
1.41585068e+02,3.13974690e+00,5.73731709e+00,3.26287836e-01,4.44880120e+07
1.53906693e+02,3.40806996e-03,1.00430489e-01,6.20505393e-01,1.48649920e+07
1.41042694e+02,1.76488608e-02,2.91366673e+00,6.65526807e-01,3.50291840e+07
1.44857849e+02,1.94448337e-03,4.08969498e+00,5.94610512e-01,2.11545440e+07
1.43991898e+02,2.76217540e-03,8.08018208e-01,5.88596821e-01,2.65479940e+07
1.44293182e+02,7.76854949e-03,2.61444092e+00,3.68668646e-01,3.62383280e+07
1.40174591e+02,9.85078752e-01,2.60303235e+00,1.07422374e-01,1.73266580e+07
1.41389923e+02,3.13095617e+00,1.90593314e+00,5.68298340e-01,1.21968780e+07
1.42744232e+02,4.29486716e-03,3.54931545e+00,4.50544715e-01,2.03302500e+07
1.40166092e+02,8.81918073e-01,6.12646294e+00,1.22671381e-01,2.25267500e+07
1.47437897e+02,3.13177276e+00,5.67881584e-01,4.52976167e-01,5.53538240e+07
1.68403229e+02,3.14119697e+00,5.48668909e+00,1.10653996e+00,5.19579080e+07
1.42921280e+02,3.13065267e+00,2.78950834e+00,4.74241257e-01,1.80604460e+07
1.52741241e+02,1.45979773e-03,5.15854788e+00,5.22598684e-01,1.35096170e+07
1.53403809e+02,7.29553262e-03,1.46014643e+00,5.09451270e-01,2.07625940e+07
1.48301743e+02,3.13533092e+00,2.65221596e+00,5.90031028e-01,4.13673600e+07
1.42573441e+02,6.05595112e-03,3.43844128e+00,5.83089948e-01,2.66246640e+07
1.44923431e+02,3.13787365e+00,1.55036163e+00,5.60791194e-01,1.56986370e+07
1.40144196e+02,2.19102478e+00,3.70788574e+00,1.86911553e-01,3.53601760e+07
1.40055161e+02,3.14022160e+00,1.90427136e+00,2.76719719e-01,1.67884720e+07
1.40153900e+02,2.36093104e-01,3.14866281e+00,3.12427014e-01,1.73988400e+07
